"Timestamp","Should the mods be more active?","Should discussion & tutorial threads be a more regular thing?","Should posters be required to post their customisation information?","Should OC posts like ""I made an gtk-them/icon-theme/cool-script"" be encouraged?","Should we hold more regular contests?","Should hosting Imgur be a requirement?","Should ""fapping"" (not including ""porn"" or ""sex[y]"") be dropped from the sub?"
"2014/05/21 5:56:04 pm CET","Yes","Yes","Yes, but with a predefined template","Yes","Yes","No, but don't allow all hosts","Yes"
"2014/05/21 9:32:30 pm CET","Yes","Yes","Yes, but however they want","Indifferent","No","No, but don't allow all hosts","Indifferent"
"2014/05/21 9:33:27 pm CET","Yes","Yes","Indifferent","Yes","Yes","No","No"
"2014/05/21 9:36:43 pm CET","Yes","Yes","No","Yes","Indifferent","No, but don't allow all hosts","No"
"2014/05/21 9:37:59 pm CET","Indifferent","Yes","Yes, but with a predefined template","Yes","Indifferent","Yes","Yes"
"2014/05/21 9:51:43 pm CET","Indifferent","Yes","Yes, but with a predefined template","Yes","Yes","Yes","Indifferent"
"2014/05/21 9:53:43 pm CET","Indifferent","Yes","Yes, but however they want","Yes","Indifferent","Yes","Yes"
"2014/05/21 9:54:22 pm CET","Indifferent","Indifferent","Yes, but however they want","Yes","Yes","Yes","Yes"
"2014/05/21 9:55:44 pm CET","Yes","Yes","Yes, but with a predefined template","Yes","Indifferent","No","No"
"2014/05/21 10:00:32 pm CET","Yes","Yes","Indifferent","Indifferent","No","No, but don't allow all hosts","Yes"
"2014/05/21 10:02:01 pm CET","Indifferent","Yes","Yes, but with a predefined template","Indifferent","Indifferent","Indifferent","Yes"
"2014/05/21 10:02:16 pm CET","Yes","Yes","Yes, but with a predefined template","Yes","No","Yes","Yes"
"2014/05/21 10:09:57 pm CET","No","Yes","Yes, but with a predefined template","Yes","Indifferent","Yes","Yes"
"2014/05/21 10:20:01 pm CET","Indifferent","Yes","Yes, but with a predefined template","Yes","Yes","Indifferent","No"
"2014/05/21 10:20:54 pm CET","Indifferent","Yes","Yes, but however they want","Indifferent","Yes","No, but don't allow all hosts","Indifferent"
"2014/05/21 10:21:23 pm CET","Indifferent","Yes","Yes, but with a predefined template","Yes","Yes","Indifferent","No"
"2014/05/21 10:22:52 pm CET","Yes","Yes","No","No","Indifferent","No","Yes"
"2014/05/21 10:23:21 pm CET","Indifferent","Yes","No","Yes","Indifferent","No","Yes"
"2014/05/21 10:27:59 pm CET","Indifferent","Yes","Yes, but with a predefined template","Indifferent","Yes","No, but don't allow all hosts","Indifferent"
"2014/05/21 10:30:52 pm CET","Indifferent","Yes","Yes, but however they want","Yes","No","No, but don't allow all hosts","Yes"
"2014/05/21 10:31:35 pm CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","No","No"
"2014/05/21 10:36:37 pm CET","Yes","Yes","Yes, but however they want","Yes","No","Indifferent","No"
"2014/05/21 10:44:19 pm CET","Indifferent","Yes","Yes, but however they want","Yes","Indifferent","No, but don't allow all hosts","Yes"
"2014/05/21 10:44:48 pm CET","Indifferent","Indifferent","Yes, but however they want","Indifferent","Yes","No, but don't allow all hosts","Yes"
"2014/05/21 10:50:29 pm CET","Yes","No","Yes, but with a predefined template","Yes","Yes","Yes","No"
"2014/05/21 10:51:14 pm CET","Yes","Yes","No","Yes","Indifferent","Yes","Indifferent"
"2014/05/21 10:55:30 pm CET","Indifferent","Yes","Indifferent","Yes","Yes","Indifferent","Yes"
"2014/05/21 10:57:42 pm CET","Yes","No","No","Indifferent","Indifferent","No","No"
"2014/05/21 10:58:32 pm CET","Indifferent","Yes","Yes, but however they want","Indifferent","Indifferent","No, but don't allow all hosts","Yes"
"2014/05/21 11:01:12 pm CET","Indifferent","Yes","Yes, but with a predefined template","Indifferent","Indifferent","No, but don't allow all hosts","No"
"2014/05/21 11:02:11 pm CET","Yes","Yes","Yes, but however they want","Yes","Yes","No","Yes"
"2014/05/21 11:05:03 pm CET","Yes","Yes","Yes, but with a predefined template","Yes","No","No, but don't allow all hosts","Yes"
"2014/05/21 11:08:13 pm CET","Yes","Yes","Yes, but with a predefined template","Yes","Yes","Yes","No"
"2014/05/21 11:08:49 pm CET","No","Yes","Yes, but with a predefined template","Yes","Indifferent","Yes","No"
"2014/05/21 11:15:02 pm CET","Indifferent","Yes","Yes, but however they want","Yes","No","Yes","Indifferent"
"2014/05/21 11:16:57 pm CET","Indifferent","No","Yes, but with a predefined template","Yes","No","Yes","No"
"2014/05/21 11:23:55 pm CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","No, but don't allow all hosts","Yes"
"2014/05/21 11:32:16 pm CET","Yes","Yes","Indifferent","Indifferent","Yes","Indifferent","Yes"
"2014/05/21 11:33:28 pm CET","Indifferent","Yes","Yes, but with a predefined template","Yes","Indifferent","No, but don't allow all hosts","Indifferent"
"2014/05/21 11:34:43 pm CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","No, but don't allow all hosts","No"
"2014/05/21 11:34:59 pm CET","Yes","Yes","Yes, but with a predefined template","Yes","No","No, but don't allow all hosts","Yes"
"2014/05/21 11:35:25 pm CET","Indifferent","Yes","Yes, but however they want","Indifferent","Indifferent","Indifferent","Indifferent"
"2014/05/21 11:38:15 pm CET","Yes","Yes","No","Yes","Yes","No","No"
"2014/05/21 11:42:03 pm CET","Yes","Yes","No","Indifferent","Yes","No","Indifferent"
"2014/05/21 11:44:32 pm CET","Indifferent","Yes","Yes, but however they want","Yes","Indifferent","No","No"
"2014/05/21 11:45:31 pm CET","Indifferent","Yes","Yes, but with a predefined template","Yes","Yes","Indifferent","Indifferent"
