Timestamp,Cast your votes!
08/09/2014 11:42:32,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
08/09/2014 11:48:45,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
08/09/2014 11:56:14,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
08/09/2014 12:24:17,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
08/09/2014 12:47:28,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
08/09/2014 12:47:34,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
08/09/2014 12:47:49,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
08/09/2014 13:10:42,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
08/09/2014 13:10:50,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
08/09/2014 15:14:17,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
08/09/2014 15:46:20,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
08/09/2014 16:13:31,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
08/09/2014 17:07:36,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
08/09/2014 19:06:05,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
08/09/2014 19:28:09,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
08/09/2014 19:41:35,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
08/09/2014 20:03:05,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
08/09/2014 20:11:07,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
08/09/2014 20:59:43,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
08/09/2014 21:40:48,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
08/09/2014 22:02:47,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
08/09/2014 22:19:51,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
08/09/2014 22:32:40,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
08/09/2014 22:41:33,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
08/09/2014 22:43:05,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
08/09/2014 22:43:31,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
08/09/2014 23:00:52,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
09/09/2014 00:08:58,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
09/09/2014 00:40:43,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
09/09/2014 01:06:24,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
09/09/2014 01:25:10,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
09/09/2014 01:45:41,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
09/09/2014 01:49:44,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
09/09/2014 04:34:35,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
09/09/2014 04:53:09,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
09/09/2014 06:41:29,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
09/09/2014 08:12:38,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
09/09/2014 08:13:59,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
09/09/2014 08:14:09,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
09/09/2014 10:05:14,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
09/09/2014 10:57:20,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
09/09/2014 11:26:37,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
09/09/2014 11:37:11,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
09/09/2014 12:28:26,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
09/09/2014 12:28:35,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
09/09/2014 13:52:57,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
09/09/2014 14:05:05,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
09/09/2014 15:02:22,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
09/09/2014 15:15:15,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
09/09/2014 16:28:14,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
09/09/2014 16:29:51,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
09/09/2014 17:40:53,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
09/09/2014 18:46:47,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
09/09/2014 18:48:04,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
09/09/2014 19:58:14,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
09/09/2014 20:10:05,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
09/09/2014 20:30:59,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
09/09/2014 21:15:10,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
09/09/2014 22:21:56,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
10/09/2014 00:11:49,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
10/09/2014 01:13:11,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
10/09/2014 02:26:14,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
10/09/2014 03:08:20,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
10/09/2014 03:24:22,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
10/09/2014 04:44:12,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
10/09/2014 05:23:11,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
10/09/2014 07:20:49,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
10/09/2014 08:22:00,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
10/09/2014 13:33:48,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
10/09/2014 15:19:09,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
10/09/2014 16:39:26,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
10/09/2014 17:12:17,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
10/09/2014 17:58:55,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
10/09/2014 19:34:12,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
10/09/2014 19:36:14,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
10/09/2014 23:59:42,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
11/09/2014 00:01:08,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
11/09/2014 03:46:43,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
11/09/2014 06:49:52,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
11/09/2014 07:28:22,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
11/09/2014 08:20:13,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
11/09/2014 08:36:12,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
11/09/2014 08:58:51,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
11/09/2014 11:36:41,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
11/09/2014 14:20:46,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
11/09/2014 15:26:44,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
11/09/2014 20:05:37,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
11/09/2014 20:22:53,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
11/09/2014 21:46:31,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
11/09/2014 23:39:39,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
12/09/2014 00:42:54,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
12/09/2014 04:57:22,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
12/09/2014 08:14:49,2BWM as DWM - http://pub.iotek.org/p/JdQDldE.jpg
12/09/2014 10:28:03,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
12/09/2014 13:05:45,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
12/09/2014 14:49:29,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
12/09/2014 14:57:56,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
12/09/2014 16:40:00,Cinnamon as Pantheon - https://i.imgur.com/dH1h5jN.png
12/09/2014 17:30:53,XFCE as Windows - https://i.imgur.com/3DqbpaX.png
12/09/2014 19:28:19,XFCE as WM - https://i.imgur.com/oeCrZ1R.png
