Timestamp,Should we allow Windows screenshots?,Should general Linux beginner questions be moved to more relevant subs?,Should we try banning certain popular elements for a limited time?,Should we turn off downvotes?
21/05/2015 17:23:53,"No, with the exception to Windows ports of *nix software",Yes,Yes,Indifferent
21/05/2015 17:29:27,"No, with the exception to Windows ports of *nix software",Yes,Yes,Yes
21/05/2015 17:29:53,"No, not under any circumstances",Indifferent,Yes,No
21/05/2015 17:32:15,"Yes, but with a strict no-defaults rule",Yes,No,No
21/05/2015 17:33:49,"No, not under any circumstances",Yes,Indifferent,No
21/05/2015 17:36:25,"No, with the exception to Windows ports of *nix software",Yes,Yes,No
21/05/2015 17:41:53,"No, with the exception to Windows ports of *nix software",No,No,Yes
21/05/2015 17:43:55,"No, with the exception to Windows ports of *nix software",Yes,Yes,No
21/05/2015 17:45:52,"No, not under any circumstances",Yes,Yes,Indifferent
21/05/2015 17:50:57,"No, not under any circumstances",Yes,Yes,No
21/05/2015 18:11:25,"No, not under any circumstances",Yes,Yes,No
21/05/2015 18:25:16,"Yes, but only if it's been massively customised",No,No,Yes
21/05/2015 18:30:57,"No, not under any circumstances",Yes,No,No
21/05/2015 18:32:13,"No, not under any circumstances",Yes,No,Indifferent
21/05/2015 18:33:15,"No, not under any circumstances",Indifferent,Yes,No
21/05/2015 18:45:46,"No, with the exception to Windows ports of *nix software",Yes,No,No
21/05/2015 19:18:53,"No, not under any circumstances",Yes,Indifferent,No
21/05/2015 19:40:29,"No, with the exception to Windows ports of *nix software",Yes,No,No
21/05/2015 19:43:32,"No, not under any circumstances",No,No,Indifferent
21/05/2015 19:56:50,"No, with the exception to Windows ports of *nix software",Indifferent,No,No
21/05/2015 20:37:06,Indifferent,Yes,Yes,Yes
21/05/2015 21:24:53,"Yes, but only if it's been massively customised",Yes,No,No
21/05/2015 22:37:49,"No, not under any circumstances",Yes,Yes,No
21/05/2015 23:26:42,"Yes, but only if it's been massively customised",Yes,Yes,Yes
21/05/2015 23:32:26,"Yes, but only if it's been massively customised",No,Yes,No
21/05/2015 23:50:44,"Yes, but only if it's been massively customised",Yes,Yes,No
22/05/2015 00:04:58,"No, with the exception to Windows ports of *nix software",Indifferent,Indifferent,Indifferent
22/05/2015 00:14:37,"No, not under any circumstances",Yes,No,No
22/05/2015 00:18:53,"No, not under any circumstances",Yes,Yes,No
22/05/2015 00:22:42,"No, not under any circumstances",No,Yes,Yes
22/05/2015 00:22:53,"No, with the exception to Windows ports of *nix software",Yes,Yes,Indifferent
22/05/2015 00:46:29,"No, with the exception to Windows ports of *nix software",Yes,No,No
22/05/2015 00:46:35,"No, with the exception to Windows ports of *nix software",Yes,No,No
22/05/2015 00:46:37,"No, with the exception to Windows ports of *nix software",Yes,No,No
22/05/2015 00:46:39,"No, with the exception to Windows ports of *nix software",Yes,No,No
22/05/2015 00:46:40,"No, with the exception to Windows ports of *nix software",Yes,No,No
22/05/2015 00:46:42,"No, with the exception to Windows ports of *nix software",Yes,No,No
22/05/2015 00:48:23,"No, not under any circumstances",Yes,No,No
22/05/2015 01:08:47,"No, not under any circumstances",No,No,No
22/05/2015 01:15:18,"Yes, but only if it's been massively customised",Indifferent,No,No
22/05/2015 01:21:33,Indifferent,Yes,No,No
22/05/2015 01:58:58,"No, not under any circumstances",Indifferent,Yes,Indifferent
22/05/2015 04:11:44,"No, not under any circumstances",Yes,Yes,Indifferent
22/05/2015 04:13:38,"No, not under any circumstances",Yes,Yes,No
22/05/2015 04:13:45,"No, not under any circumstances",Yes,Yes,No
22/05/2015 04:38:12,Indifferent,Yes,No,Indifferent
22/05/2015 04:57:14,"No, not under any circumstances",Yes,Yes,No
22/05/2015 05:17:41,"No, not under any circumstances",Yes,No,No
22/05/2015 06:49:50,"No, not under any circumstances",Yes,No,No
22/05/2015 07:24:45,Indifferent,Yes,No,No
22/05/2015 08:11:24,Indifferent,No,Indifferent,No
22/05/2015 09:50:47,"No, not under any circumstances",Yes,No,No
22/05/2015 10:07:12,"No, with the exception to Windows ports of *nix software",Yes,Yes,No
22/05/2015 13:07:16,"No, with the exception to Windows ports of *nix software",Yes,No,No
22/05/2015 15:34:30,"Yes, but only if it's been massively customised",Yes,No,No
22/05/2015 16:17:38,"No, with the exception to Windows ports of *nix software",No,Yes,Indifferent
22/05/2015 16:34:27,"No, with the exception to Windows ports of *nix software",Indifferent,No,Indifferent
22/05/2015 17:16:24,"Yes, but only if it's been massively customised",Indifferent,No,No
22/05/2015 17:18:37,"No, not under any circumstances",Yes,Yes,Indifferent
22/05/2015 17:48:14,"No, with the exception to Windows ports of *nix software",Yes,No,No
22/05/2015 20:03:28,"No, not under any circumstances",Yes,No,No
22/05/2015 20:19:20,"No, with the exception to Windows ports of *nix software",Yes,Yes,Yes
22/05/2015 20:59:53,"No, not under any circumstances",Yes,Yes,No
22/05/2015 21:22:22,"No, with the exception to Windows ports of *nix software",Indifferent,Yes,Indifferent
22/05/2015 22:19:17,"No, with the exception to Windows ports of *nix software",Yes,No,No
22/05/2015 22:43:51,"No, with the exception to Windows ports of *nix software",Indifferent,Indifferent,No
22/05/2015 23:15:21,"Yes, but with a strict no-defaults rule",No,No,No
23/05/2015 00:39:45,Indifferent,Yes,No,No
23/05/2015 03:39:56,"No, not under any circumstances",Yes,No,No
